State,Project ID,Project title,Subgrantee,Community,Rich/white,FEMA $,FEMA share,Elevated homes,Multi-purpose,Multi-community,Multi-elevation
Connecticut,DR-0972-0006-R,Westport - Retrofitting/Elev.,WESTPORT (TOWN OF),Westport,x,"$158,253",50%,7,,,
Connecticut,DR-1302-0003-R,House Elevation Harbor Road,Westport (Town of),Westport,x,"$49,375",75%,1,,,
Connecticut,DR-1619-0002-R,Town of Westport-Elevation of Residential Structure,Westport (Town of),Westport,x,"$90,450",75%,1,,,
Connecticut,DR-1700-0001-R,Darien - Elevation & Acquision of two homes,Darien (Town of),Darien,x,"$140,903",75%,1,x,,
Connecticut,DR-1700-0004-R,Shelton - Residential Property Elevations,Shelton (Town of),Shelton,,"$259,244",75%,4,,,
Connecticut,DR-4023-0023-R,Milford Elevation Oakland Avenue,Milford,Milford,,"$90,263",72%,1,,,
Connecticut,DR-4046-0009-R,Greenwich Residential Elevation Grimes Road,Greenwich (Town of),Old Greenwich,x,"$215,561",75%,1,,,
Connecticut,DR-4046-0010-R,Milford Residential Elevation Field Court,Milford,Milford,,"$141,419",75%,1,,,
Connecticut,DR-4046-0011-R,Norwalk Elevation Shorefront Park,Norwalk (Town of),Norwalk,,"$80,695",75%,1,,,
Connecticut,DR-4046-0018-R,Norwalk Elevation Shorefront Park,Norwalk (Town of),Norwalk,,"$26,922",30%,1,,,
Connecticut,DR-4046-0020-R,Westport 5 Residential Elevations,Westport (Town of),Westport,x,"$588,985",75%,0,,,
Connecticut,DR-4046-0023-R,Greenwich Residential Elevation Oak Lane,Greenwich (Town of),Old Greenwich,x,"$197,438",75%,1,,,
Connecticut,DR-4046-0025-R,Fairfield Residential Elevation Fairfield Beach Rd.,Fairfield (Town of),Fairfield,x,"$173,104",72%,1,,,
Connecticut,DR-4046-0028-R,Fairfield Residential Elevation Fairfield Beach Rd,Fairfield (Town of),Fairfield,x,"$154,908",75%,1,,,
Connecticut,DR-4046-0030-R,Fairfield Residential Elevation Fairfield Beach Rd,Fairfield (Town of),Fairfield,x,"$130,607",74%,1,,,
Connecticut,DR-4046-0031-R,Fairfield Residential Elevation Edward Street,Fairfield (Town of),Fairfield,x,"$167,588",75%,1,,,
Connecticut,DR-4046-0032-R,Fairfield Residential Elevation Colonial Drive,Fairfield (Town of),Fairfield,x,"$152,876",75%,1,,,
Connecticut,DR-4046-0033-R,Fairfield Residential Elevation Colonial Drive,Fairfield (Town of),Fairfield,x,"$147,514",75%,1,,,
Connecticut,DR-4046-0034-R,Fairfield Residential Elevation Myren St,Fairfield (Town of),Fairfield,x,"$194,625",75%,1,,,
Connecticut,DR-4046-0035-R,Fairfield Residential Elevation Fern Street,Fairfield (Town of),Fairfield,x,"$164,475",75%,1,,,
Connecticut,DR-4046-0036-R,Fairfield Residential Elevation Rowland Rd,Fairfield (Town of),Fairfield,x,"$130,275",75%,1,,,
Connecticut,DR-4046-0037-R,Fairfield Residential Elevation Lalley Blvd,Fairfield (Town of),Fairfield,x,"$153,415",75%,1,,,
Connecticut,DR-4046-0039-R,Fairfield Residential Elevation Lalley Blvd,Fairfield (Town of),Fairfield,x,"$158,280",75%,1,,,
Connecticut,DR-4046-0040-R,Fairfield Residential Elevation Carlynn Dr.,Fairfield (Town of),Fairfield,x,"$157,801",75%,1,,,
Connecticut,DR-4046-0041-R,Fairfield Residential Elevation Lalley Blvd,Fairfield (Town of),Fairfield,x,"$131,119",75%,1,,,
Connecticut,DR-4046-0042-R,Fairfield Residential Elevation Myren Street,Fairfield (Town of),Fairfield,x,"$171,150",75%,1,,,
Connecticut,DR-4046-0043-R,Fairfield Residential Elevation Beach Road,Fairfield (Town of),Fairfield,x,"$128,775",75%,1,,,
Connecticut,DR-4046-0044-R,Fairfield Residential Elevation Howard St,Fairfield (Town of),Fairfield,x,"$150,656",75%,1,,,
Connecticut,DR-4046-0045-R,Fairfield Residential Elevation Myren St.,Fairfield (Town of),Fairfield,x,"$172,125",75%,1,,,
Connecticut,DR-4046-0046-R,Fairfield Residential Elevation Riverside Drive,Fairfield (Town of),Fairfield,x,"$108,975",75%,1,,,
Connecticut,DR-4046-0047-R,Fairfield Residential Elevation Penfield Road,Fairfield (Town of),Fairfield,x,"$168,503",75%,1,,,
Connecticut,DR-4046-0048-R,Fairfield Residential Elevation Pine Creek Ave,Fairfield (Town of),Fairfield,x,"$148,290",71%,1,,,
Connecticut,DR-4046-0049-R,Fairfield Residential Elevation Puritan Road,Fairfield (Town of),Fairfield,x,"$138,994",75%,1,,,
Connecticut,DR-4046-0050-R,Fairfield Residential Elevation Penfield Road,Fairfield (Town of),Fairfield,x,"$122,513",75%,1,,,
Connecticut,DR-4046-0053-R,Fairfield Residential Elevation Edward Street,Fairfield (Town of),Fairfield,x,"$141,750",75%,1,,,
Connecticut,DR-4046-0054-R,Fairfield Residential Elevation Carlynn Drive,Fairfield (Town of),Fairfield,x,"$160,845",75%,1,,,
Connecticut,DR-4046-0055-R,Fairfield Residential Elevation Colonial Drive,Fairfield (Town of),Fairfield,x,"$130,425",74%,1,,,
Connecticut,DR-4046-0057-R,Fairfield Residential Elevation Fairfield Beach Road,Fairfield (Town of),Fairfield,x,"$162,900",75%,1,,,
Connecticut,DR-4046-0062-R,Fairfield Residential Elevation Puritan Road,Fairfield (Town of),Fairfield,x,"$149,211",75%,1,,,
